Model,MAE,MSE,RMSE,R2,Selected hyperparameters
Decision Tree Regression,2621.3124045359605,18886631.250029117,4345.875199546015,0.8972190041804287,"{'max_depth': 4, 'min_samples_leaf': 5}"
Polynomial Regression (degree 2),2867.317439475322,21585843.724421956,4646.05679306893,0.8825298972468522,
SVR (rbf kernel),2312.5818822276697,23189466.72362663,4815.544281140672,0.8738029852531015,
Polynomial Regression (degree 3),3048.863649153724,23719529.852298144,4870.269997884937,0.8709183831506482,
Multiple Linear Regression,4177.04556103632,35478020.675235555,5956.342894363584,0.8069287081198014,
Ridge Regression,4193.891909470001,35663132.653140746,5971.861740959912,0.8059213292402463,{'alpha': 1}
Lasso Regression,4223.716095394863,36341054.09919777,6028.354178314158,0.8022320825773149,{'alpha': 50}
Polynomial Regression (degree 4),3756.150027892868,36697660.84954735,6057.859428011461,0.800291429613232,
SVR (linear kernel),3141.267963594798,39182560.64347108,6259.597482543992,0.7867686117030271,
Simple Linear Regression (smoker only),5830.635672652305,60039304.15008918,7748.503349040328,0.673266270349257,
